Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
Australia,"Agriculture, forestry and fishing",Full-time,1250,1244.502,1275.523
Australia,"Agriculture, forestry and fishing",Part-time,545.662,556.466,543.2
Australia,"Agriculture, forestry and fishing",Skill level 1,1505.147,1482.198,1639.818
Australia,"Agriculture, forestry and fishing",Skill level 2,1417.523,0,0
Australia,"Agriculture, forestry and fishing",Skill level 3,987.163,1000,0
Australia,"Agriculture, forestry and fishing",Skill level 4,1009.704,1200,1000
Australia,"Agriculture, forestry and fishing",Skill level 5,982.212,1000,849.159
Australia,Mining,Full-time,2452.324,2612.589,1738.171
Australia,Mining,Part-time,1195.891,2055.167,1020.118
Australia,Mining,Skill level 1,3000,3266.937,1982.496
Australia,Mining,Skill level 2,2301,3149.974,1507.191
Australia,Mining,Skill level 3,2500,2611.103,0
Australia,Mining,Skill level 4,2205.613,2323.586,1501.53
Australia,Mining,Skill level 5,1743.668,1944.934,1484.121
Australia,Manufacturing,Full-time,1512.105,1571.039,1400
Australia,Manufacturing,Part-time,600,553.376,605.539
Australia,Manufacturing,Skill level 1,2036.668,2065.143,1903.801
Australia,Manufacturing,Skill level 2,1500,1543.218,1335.588
Australia,Manufacturing,Skill level 3,1453.945,1499.235,980.969
Australia,Manufacturing,Skill level 4,1250,1342,1155.533
Australia,Manufacturing,Skill level 5,1051.301,1138.59,908.797
Australia,"Electricity, gas, water and waste services",Full-time,2000,2052.655,1701.478
Australia,"Electricity, gas, water and waste services",Part-time,841.328,877.574,749.316
Australia,"Electricity, gas, water and waste services",Skill level 1,2291.717,2364.164,2054.78
Australia,"Electricity, gas, water and waste services",Skill level 2,2467.983,2476.771,0
Australia,"Electricity, gas, water and waste services",Skill level 3,2189.296,2319.94,0
Australia,"Electricity, gas, water and waste services",Skill level 4,1346.431,1422.792,1193.949
Australia,"Electricity, gas, water and waste services",Skill level 5,1250,1250,1306.378
Australia,Construction,Full-time,1538,1550,1400
Australia,Construction,Part-time,670.574,657.389,691.931
Australia,Construction,Skill level 1,2097.827,2115.584,2000
Australia,Construction,Skill level 2,1800,1867.969,1231.611
Australia,Construction,Skill level 3,1354.448,1363.063,1288.39
Australia,Construction,Skill level 4,1403.032,1571.737,1039.347
Australia,Construction,Skill level 5,1250,1250.108,0
Australia,Wholesale trade,Full-time,1472.207,1507,1301.605
Australia,Wholesale trade,Part-time,738.009,756.099,688.083
Australia,Wholesale trade,Skill level 1,2015.304,2185.493,1827.524
Australia,Wholesale trade,Skill level 2,1462.215,1653.909,1298.086
Australia,Wholesale trade,Skill level 3,1467.39,1477.195,0
Australia,Wholesale trade,Skill level 4,1211.619,1247,1154.471
Australia,Wholesale trade,Skill level 5,1099.255,1140.204,925.775
Australia,Retail trade,Full-time,1228.885,1349.45,1150
Australia,Retail trade,Part-time,477,450,500
Australia,Retail trade,Skill level 1,1762.419,2050.848,1600.268
Australia,Retail trade,Skill level 2,1300,1424.505,1200
Australia,Retail trade,Skill level 3,1075.126,1233.109,817.606
Australia,Retail trade,Skill level 4,1055.201,1093.454,1028
Australia,Retail trade,Skill level 5,559.718,600,550
Australia,Accommodation and food services,Full-time,1193.106,1247.224,1114.037
Australia,Accommodation and food services,Part-time,373,350.843,400
Australia,Accommodation and food services,Skill level 1,1372.768,1597.283,1364.714
Australia,Accommodation and food services,Skill level 2,1119.803,1153,1100
Australia,Accommodation and food services,Skill level 3,900,996.446,824.977
Australia,Accommodation and food services,Skill level 4,588,637.434,535.731
Australia,Accommodation and food services,Skill level 5,323.295,269.418,350
Australia,"Transport, postal and warehousing",Full-time,1550.465,1605.472,1397.295
Australia,"Transport, postal and warehousing",Part-time,720,739.853,700
Australia,"Transport, postal and warehousing",Skill level 1,2386.119,2493,1956.231
Australia,"Transport, postal and warehousing",Skill level 2,1400,1977.428,1255.721
Australia,"Transport, postal and warehousing",Skill level 3,1657.818,1915.987,1180.066
Australia,"Transport, postal and warehousing",Skill level 4,1325.001,1380,1171.066
Australia,"Transport, postal and warehousing",Skill level 5,1103.061,1162.237,1005.726
